Rank,Unique Visitors (users),Page Views,Reach,Site,Category,Has Advertising
1,540000000,570000000000,35.2%,facebook.com,Social Networks,Yes
2,490000000,70000000000,31.8%,yahoo.com,Web Portals,Yes
3,370000000,39000000000,24.1%,live.com,Search Engines,Yes
4,310000000,7900000000,20%,wikipedia.org,Dictionaries & Encyclopedias,No
5,280000000,11000000000,18.1%,msn.com,Web Portals,Yes
6,230000000,3300000000,14.8%,microsoft.com,Software,Yes
7,230000000,4400000000,14.7%,blogspot.com,Blogging Resources & Services,Yes
8,230000000,27000000000,15%,baidu.com,Web Portals,Yes
9,170000000,25000000000,11.1%,qq.com,Email & Messaging,Yes
10,140000000,2100000000,9.2%,mozilla.com,Internet Clients & Browsers,No
11,130000000,3600000000,8.4%,sina.com.cn,Web Portals,Yes
12,120000000,1200000000,7.7%,wordpress.com,Blogging Resources & Services,Yes
13,110000000,2700000000,7.%,bing.com,Search Engines,Yes
14,110000000,1000000000,6.9%,adobe.com,Programming,Yes
15,98000000,2700000000,6.3%,163.com,Web Portals,Yes
16,98000000,10000000000,6.3%,taobao.com,Shopping,No
17,97000000,1400000000,6.3%,soso.com,Entertainment,No
18,96000000,5400000000,6.2%,twitter.com,Email & Messaging,No
19,89000000,1700000000,5.8%,youku.com,Video Clips & Movie Downloads,Yes
20,88000000,1700000000,5.7%,ask.com,Search Engines,Yes
21,82000000,1900000000,5.3%,sohu.com,Web Portals,Yes
22,74000000,3300000000,4.8%,amazon.com,Shopping,Yes
23,74000000,490000000,4.8%,windows.com,Windows,No
24,74000000,9400000000,4.8%,ebay.com,Auctions,Yes
25,72000000,27000000000,4.7%,yahoo.co.jp,Web Portals,Yes
26,72000000,27000000000,4.7%,myspace.com,Social Networks,Yes
27,72000000,960000000,4.7%,apple.com,Mac,Yes
28,66000000,1100000000,4.3%,tudou.com,Photo & Video Sharing,No
29,60000000,2000000000,3.9%,conduit.com,Advertising & Marketing,No
30,60000000,1100000000,3.9%,hotmail.com,Email & Messaging,Yes
31,55000000,1800000000,3.6%,flickr.com,Photo & Video Sharing,Yes
32,55000000,1100000000,3.6%,photobucket.com,Photo & Video Sharing,Yes
33,55000000,590000000,3.6%,tianya.cn,Online Communities,Yes
34,55000000,710000000,3.6%,about.com,How-To & Expert Content,Yes
35,55000000,490000000,3.6%,cnet.com,Technology News,Yes
36,50000000,1400000000,3.3%,hao123.com,Online Directories,No
37,50000000,270000000,3.2%,iefxz.com,,No
38,50000000,870000000,3.2%,xunlei.com,TV Programs,No
39,49000000,1900000000,3.2%,paypal.com,Merchant Services & Payment Systems,Yes
40,46000000,800000000,3%,rapidshare.com,File Sharing & Hosting,No
41,46000000,3000000000,3%,go.com,Web Portals,Yes
42,45000000,2400000000,2.9%,fc2.com,Blogging Resources & Services,Yes
43,45000000,2500000000,2.9%,bbc.co.uk,News & Current Events,Yes
44,45000000,1400000000,2.9%,imdb.com,Movies,Yes
45,45000000,5300000000,2.9%,orkut.com,Social Networks,Yes
46,45000000,540000000,2.9%,sogou.com,Web Portals,No
47,42000000,450000000,2.7%,56.com,Multimedia Content,No
48,42000000,4400000000,2.7%,aol.com,Web Portals,Yes
49,42000000,14000000000,2.7%,craigslist.org,Classifieds,No
50,41000000,4000000000,2.6%,rakuten.co.jp,Shopping Portals & Search Engines,Yes
51,41000000,310000000,2.7%,imageshack.us,File Sharing & Hosting,Yes
52,41000000,410000000,2.7%,ku6.com,Multimedia Content,Yes
53,41000000,1700000000,2.7%,blogger.com,Blogging Resources & Services,Yes
54,41000000,810000000,2.6%,goo.ne.jp,Web Services,Yes
55,41000000,860000000,2.7%,ifeng.com,News & Current Events,Yes
56,38000000,1700000000,2.5%,linkedin.com,Social Networks,Yes
57,38000000,7000000000,2.4%,yandex.ru,Search Engines,Yes
58,37000000,10000000000,2.4%,mail.ru,Email & Messaging,Yes
59,35000000,280000000,2.2%,partypoker.com,Cards & Casino Games,No
60,34000000,880000000,2.2%,megaupload.com,File Sharing & Hosting,No
61,34000000,250000000,2.2%,answers.com,Dictionaries & Encyclopedias,No
62,34000000,800000000,2.2%,alibaba.com,Management & Corporate Operations,Yes
63,34000000,9500000000,2.2%,hi5.com,Social Networks,Yes
64,34000000,1300000000,2.2%,cnn.com,News & Current Events,Yes
65,34000000,1100000000,2.2%,amazon.co.jp,Shopping Portals & Search Engines,No
66,31000000,1600000000,2%,4shared.com,File Sharing & Hosting,Yes
67,31000000,1300000000,2%,ameblo.jp,Blogging Resources & Services,Yes
68,31000000,410000000,2%,gougou.com,Web Services,Yes
69,31000000,370000000,2%,skype.com,VOIP & Internet Telephony,No
70,31000000,2000000000,2%,renren.com,Social Networks,Yes
71,31000000,540000000,2%,dailymotion.com,Video Clips & Movie Downloads,Yes
72,31000000,5400000000,2%,naver.com,Search Engines,No
73,31000000,890000000,2%,weather.com,Weather,Yes
74,29000000,210000000,1.9%,mozilla.org,Internet Clients & Browsers,No
75,29000000,370000000,1.9%,mediafire.com,File Sharing & Hosting,Yes
76,28000000,330000000,1.8%,bit.ly,File Sharing & Hosting,No
77,28000000,650000000,1.8%,hp.com,Educational Resources,No
78,28000000,490000000,1.8%,livedoor.jp,Blogging Resources & Services,Yes
79,28000000,190000000,1.8%,ehow.com,How-To & Expert Content,Yes
80,28000000,660000000,1.8%,nifty.com,ISPs,Yes
81,26000000,30000000000,1.7%,vkontakte.ru,Social Networks,No
82,26000000,660000000,1.7%,alipay.com,Banking & Personal Finance,Yes
83,26000000,600000000,1.7%,nytimes.com,Newspapers,Yes
84,26000000,230000000,1.7%,overture.com,Search Engines,No
85,26000000,230000000,1.7%,sourceforge.net,Open Source,Yes
86,25000000,170000000,1.6%,fbcdn.net,Language Study & Translation,No
87,25000000,160000000,1.6%,xtendmedia.com,Web Design & Development,No
88,25000000,190000000,1.7%,xinhuanet.com,News & Current Events,Yes
89,25000000,140000000,1.6%,wikimedia.org,Dictionaries & Encyclopedias,No
90,25000000,250000000,1.6%,pconline.com.cn,Mobile Phones,Yes
91,25000000,2500000000,1.7%,daum.net,Online Communities,Yes
92,24000000,800000000,1.5%,4399.com,Online Games,Yes
93,24000000,2300000000,1.5%,bankofamerica.com,Banking & Personal Finance,No
94,23000000,5800000000,1.5%,ebay.de,Auctions,Yes
95,23000000,4000000000,1.5%,uol.com.br,Web Portals,Yes
96,23000000,250000000,1.5%,filestube.com,File Sharing & Hosting,No
97,23000000,310000000,1.5%,zol.com.cn,Hardware,Yes
98,23000000,250000000,1.5%,mop.com,Roleplaying Games,No
99,23000000,960000000,1.5%,alexa.com,Search Engine Optimization & Marketing,No
100,22000000,370000000,1.4%,biglobe.ne.jp,Web Portals,Yes
101,22000000,130000000,1.4%,brothersoft.com,Software,Yes
102,21000000,130000000,1.4%,scribd.com,E-Books,Yes
103,21000000,340000000,1.4%,softonic.com,Computers & Electronics,Yes
104,21000000,400000000,1.4%,mapquest.com,Maps & Geography,Yes
105,21000000,500000000,1.4%,dell.com,Forum & Chat Providers,Yes
106,21000000,170000000,1.4%,people.com.cn,Entertainment,Yes
107,21000000,1400000000,1.4%,kaixin001.com,Web Services,No
108,21000000,230000000,1.4%,geocities.jp,Web Hosting & Domain Registration,Yes
109,21000000,4900000000,1.4%,ebay.co.uk,Auctions,No
110,21000000,190000000,1.4%,hatena.ne.jp,Blogging Resources & Services,Yes
111,21000000,160000000,1.4%,seesaa.net,Search Engines,Yes
112,21000000,3600000000,1.4%,badoo.com,Social Networks,No
113,21000000,330000000,1.4%,megavideo.com,Video Clips & Movie Downloads,No
114,21000000,310000000,1.4%,126.com,Programming,No
115,21000000,330000000,1.4%,paipai.com,Auctions,No
116,21000000,170000000,1.4%,avg.com,Antivirus & Malware,No
117,21000000,230000000,1.4%,pps.tv,Video Clips & Movie Downloads,Yes
118,21000000,5300000000,1.4%,odnoklassniki.ru,Personals,Yes
119,20000000,860000000,1.3%,free.fr,ISPs,Yes
120,20000000,800000000,1.3%,mywebsearch.com,Social Networks,No
121,19000000,410000000,1.2%,infoseek.co.jp,Web Portals,Yes
122,19000000,3000000000,1.2%,zynga.com,Online Games,Yes
123,19000000,280000000,1.3%,depositfiles.com,File Sharing & Hosting,No
124,19000000,410000000,1.2%,metacafe.com,Video Clips & Movie Downloads,Yes
125,19000000,2100000000,1.2%,chase.com,Banking & Personal Finance,Yes
126,19000000,720000000,1.3%,thepiratebay.org,File Sharing & Hosting,No
127,19000000,720000000,1.3%,kakaku.com,Shopping Portals & Search Engines,Yes
128,19000000,170000000,1.3%,cctv.com,TV,Yes
129,19000000,89000000,1.3%,optmd.com,Personals,Yes
130,19000000,280000000,1.3%,hotfile.com,File Sharing & Hosting,No
131,19000000,81000000,1.3%,com.com,Technology News,Yes
132,19000000,600000000,1.2%,ning.com,Social Networks,Yes
133,18000000,250000000,1.2%,ocn.ne.jp,ISPs,Yes
134,18000000,960000000,1.1%,vk.com,Search Engines,No
135,18000000,88000000,1.1%,game2.com.cn,Porn,No
136,18000000,97000000,1.1%,youdao.com,Photo & Video Software,No
137,18000000,330000000,1.1%,getpersonas.com,Internet Clients & Browsers,No
138,18000000,410000000,1.2%,tripadvisor.com,Hotels & Accommodations,Yes
139,18000000,1700000000,1.1%,nate.com,Web Portals,Yes
140,18000000,1000000000,1.1%,livejournal.com,Blogging Resources & Services,Yes
141,18000000,250000000,1.2%,soufun.com,Real Estate,Yes
142,18000000,130000000,1.1%,zedo.com,E-Commerce,No
143,18000000,81000000,1.1%,browserchoice.eu,Internet Clients & Browsers,No
144,17000000,130000000,1.1%,thefreedictionary.com,Dictionaries & Encyclopedias,Yes
145,17000000,590000000,1.1%,2ch.net,Email & Messaging,Yes
146,17000000,190000000,1.1%,tinypic.com,Photo & Video Sharing,No
147,17000000,120000000,1.1%,java.com,Java,No
148,17000000,210000000,1.1%,narod.ru,Blogging Resources & Services,Yes
149,17000000,73000000,1.1%,xici.net,Online Communities,Yes
150,17000000,720000000,1.1%,walmart.com,Food Retailers,Yes
151,17000000,170000000,1.1%,114la.com,Online Directories,No
152,17000000,130000000,1.1%,joy.cn,Movies,No
153,17000000,89000000,1.1%,addthis.com,Java,No
154,17000000,2700000000,1.1%,globo.com,News & Current Events,Yes
155,16000000,160000000,1%,360.cn,Comics & Animation,Yes
156,16000000,160000000,1%,cocolog-nifty.com,Web Services,Yes
157,16000000,1200000000,1%,netflix.com,Movie Rentals & Sales,No
158,16000000,450000000,1%,target.com,Mass Merchants & Department Stores,Yes
159,16000000,190000000,1%,58.com,Classifieds,Yes
160,16000000,1200000000,1%,cyworld.com,Web Portals,No
161,16000000,97000000,1.1%,unionsky.cn,Online Goodies,No
162,16000000,310000000,1%,tom.com,Web Portals,Yes
163,16000000,970000000,1%,amazon.de,Book Retailers,No
164,16000000,1900000000,1%,netlog.com,Social Networks,Yes
165,16000000,790000000,1%,amazon.co.uk,Book Retailers,No
166,16000000,250000000,1%,reference.com,Dictionaries & Encyclopedias,Yes
167,16000000,300000000,1%,douban.com,Social Networks,Yes
168,16000000,370000000,1%,eastmoney.com,Finance & Insurance,Yes
169,16000000,410000000,1%,livedoor.com,Web Portals,Yes
170,16000000,140000000,1%,hexun.com,Investing,Yes
171,16000000,120000000,1%,liveperson.net,Apparel,No
172,16000000,600000000,1%,7k7k.com,Online Games,Yes
173,16000000,450000000,1%,miniclip.com,Online Games,Yes
174,16000000,170000000,1%,so-net.ne.jp,ISPs,Yes
175,16000000,120000000,1%,39.net,Health,Yes
176,15000000,300000000,0.9%,nih.gov,Medical Literature & Resources,No
177,15000000,250000000,1%,sakura.ne.jp,Web Hosting & Domain Registration,Yes
178,15000000,1400000000,1%,rambler.ru,Web Portals,No
179,15000000,190000000,1%,reuters.com,News & Current Events,Yes
180,15000000,88000000,0.9%,kugou.com,Movies,No
181,15000000,3000000000,0.9%,mixi.jp,Social Networks,No
182,15000000,1400000000,0.9%,terra.com.br,Lyrics & Tabs,Yes
183,15000000,89000000,0.9%,tripod.com,Web Hosting & Domain Registration,Yes
184,14000000,140000000,0.9%,mcafee.com,Antivirus & Malware,No
185,14000000,720000000,0.9%,att.com,Service Providers,Yes
186,14000000,80000000,0.9%,weather.com.cn,Weather,No
187,14000000,4100000000,0.9%,tagged.com,Social Networks,Yes
188,14000000,66000000,0.9%,atpanel.com,Shopping,No
189,14000000,410000000,0.9%,2345.com,Hotels & Accommodations,No
190,14000000,1300000000,0.9%,zing.vn,ERP,No
191,14000000,190000000,0.9%,exblog.jp,Blogging Resources & Services,Yes
192,14000000,210000000,0.9%,chinamobile.com,Service Providers,No
193,14000000,500000000,0.9%,expedia.com,Air Travel,No
194,14000000,1200000000,0.9%,ameba.jp,Blogging Resources & Services,Yes
195,14000000,74000000,0.9%,tinyurl.com,Web Services,Yes
196,13000000,130000000,0.9%,chinanews.com.cn,News & Current Events,Yes
197,13000000,51000000,0.9%,1stwebgame.com,,No
198,13000000,210000000,0.9%,commentcamarche.net,Computers & Electronics,Yes
