quantity	1505	1	1
quantity	1515	6	1
quantity	1524	12	1
quantity	1541	1	1
quantity	1563	14	1
quantity	1568	1	1
quantity	1572	6	1
quantity	1574	1	1
quantity	1575	1	1
quantity	1579	4	1
quantity	1581	2	1
quantity	1584	8	1
quantity	1587	7	2
quantity	1588	1	1
quantity	1589	1	1
quantity	1590	52	2
quantity	1595	1	1
quantity	1598	2	1
quantity	1600	10	1
quantity	1605	3	1
quantity	1607	10	2
quantity	1610	3	1
quantity	1612	1	1
quantity	1618	2	1
quantity	1619	1	1
quantity	1620	3	2
quantity	1621	2	1
quantity	1623	6	2
quantity	1624	8	1
quantity	1626	1	1
quantity	1629	1	1
quantity	1630	4	2
quantity	1631	3	1
quantity	1635	6	1
quantity	1637	9	3
quantity	1638	6	1
quantity	1642	1	1
quantity	1643	5	1
quantity	1644	4	3
quantity	1645	3	1
quantity	1648	1	1
quantity	1649	4	2
quantity	1650	55	3
quantity	1651	27	3
quantity	1652	25	2
quantity	1653	10	4
quantity	1654	3	1
quantity	1655	6	2
quantity	1656	33	4
quantity	1657	12	2
quantity	1658	21	3
quantity	1659	1	1
quantity	1661	1	1
quantity	1662	3	2
quantity	1663	5	5
quantity	1664	58	5
quantity	1665	69	7
quantity	1666	19	1
quantity	1667	44	3
quantity	1668	12	4
quantity	1669	11	2
quantity	1670	12	3
quantity	1671	2	1
quantity	1672	1	1
quantity	1673	36	6
quantity	1674	5	2
quantity	1675	22	3
quantity	1676	52	8
quantity	1677	35	7
quantity	1678	33	7
quantity	1679	78	7
quantity	1680	33	7
quantity	1681	60	11
quantity	1682	553	14
quantity	1683	86	10
quantity	1684	58	5
quantity	1685	72	12
quantity	1686	34	8
quantity	1687	64	2
quantity	1688	128	10
quantity	1689	60	9
quantity	1690	30	6
quantity	1691	12	2
quantity	1692	16	6
quantity	1693	31	5
quantity	1694	64	15
quantity	1695	56	6
quantity	1696	32	7
quantity	1697	47	2
quantity	1698	133	20
quantity	1699	117	15
quantity	1700	161	13
quantity	1701	188	24
quantity	1702	255	25
quantity	1703	114	14
quantity	1704	189	13
quantity	1705	105	23
quantity	1706	70	16
quantity	1707	196	16
quantity	1708	198	21
quantity	1709	33	12
quantity	1710	62	7
quantity	1711	65	19
quantity	1712	37	12
quantity	1713	119	12
quantity	1714	161	15
quantity	1715	186	18
quantity	1716	87	8
quantity	1717	91	19
quantity	1718	160	13
quantity	1719	273	19
quantity	1720	107	20
quantity	1721	152	17
quantity	1722	172	20
quantity	1723	175	22
quantity	1724	237	23
quantity	1725	1154	26
quantity	1726	247	37
quantity	1727	527	43
quantity	1728	465	37
quantity	1729	415	29
quantity	1730	530	37
quantity	1731	542	29
quantity	1732	159	32
quantity	1733	223	15
quantity	1734	581	32
quantity	1735	122	10
quantity	1736	139	11
quantity	1737	255	33
quantity	1738	1686	34
quantity	1739	993	50
quantity	1740	455	27
quantity	1741	244	25
quantity	1742	1235	33
quantity	1743	69	27
quantity	1744	270	36
quantity	1745	528	34
quantity	1746	393	21
quantity	1747	554	47
quantity	1748	2232	47
quantity	1749	433	48
quantity	1750	1036	50
quantity	1751	1228	72
quantity	1752	503	38
quantity	1753	799	66
quantity	1754	1225	85
