time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-07T10:57:51.000Z,67.7425,-162.8136,34,3.4,ml,,,,1.56,ak,ak11285488,2014-06-07T19:00:24.011Z,"20km NNE of Noatak, Alaska",earthquake
2014-06-07T10:35:21.000Z,67.7375,-162.4035,22.4,3.1,ml,,,,1.17,ak,ak11285419,2014-06-07T18:39:09.396Z,"30km NE of Noatak, Alaska",earthquake
2014-06-07T10:30:42.000Z,67.7489,-162.4295,6.7,2.6,ml,,,,0.65,ak,ak11285418,2014-06-07T18:33:14.371Z,"30km NE of Noatak, Alaska",earthquake
2014-06-07T09:56:12.000Z,67.7382,-162.3583,0,2.9,ml,,,,0.72,ak,ak11285414,2014-06-07T17:58:38.555Z,"31km NE of Noatak, Alaska",earthquake
2014-06-07T09:45:54.000Z,67.6898,-162.319,1,3.2,ml,,,,0.69,ak,ak11285410,2014-06-07T17:48:24.398Z,"30km ENE of Noatak, Alaska",earthquake
2014-06-07T09:32:33.000Z,65.6666,-154.4015,5.3,2.5,ml,,,,0.91,ak,ak11285399,2014-06-07T17:35:26.449Z,"115km NNE of Ruby, Alaska",earthquake
2014-06-07T09:04:04.520Z,14.6627,54.4916,10,4.2,mb,,124,2.186,0.39,us,usc000rcga,2014-06-07T17:06:44.770Z,"228km NNE of Tamrida, Yemen",earthquake
2014-06-07T08:59:11.000Z,67.7428,-162.3466,20.8,3.5,ml,,,,1.08,ak,ak11285328,2014-06-07T17:01:46.689Z,"32km NE of Noatak, Alaska",earthquake
2014-06-07T08:48:45.000Z,67.695,-162.3002,9.6,3.1,ml,,,,0.94,ak,ak11285325,2014-06-07T16:51:23.155Z,"31km ENE of Noatak, Alaska",earthquake
2014-06-07T08:31:53.000Z,18.7201,-65.2035,52,2.8,Md,4,241.2,0.41681829,0.05,pr,pr14158005,2014-06-07T16:34:32.268Z,"47km NNE of Culebra, Puerto Rico",earthquake
2014-06-07T08:30:59.000Z,67.7344,-162.4127,8.7,2.7,ml,,,,0.74,ak,ak11285321,2014-06-07T16:33:37.437Z,"29km NE of Noatak, Alaska",earthquake
2014-06-07T07:59:47.000Z,67.7383,-162.2861,8.1,2.7,ml,,,,0.68,ak,ak11285317,2014-06-07T16:02:27.573Z,"34km ENE of Noatak, Alaska",earthquake
2014-06-07T07:33:03.000Z,67.7113,-162.1481,2.1,2.6,ml,,,,1.46,ak,ak11285314,2014-06-07T18:17:07.624Z,"38km ENE of Noatak, Alaska",earthquake
2014-06-07T07:07:50.000Z,67.6873,-162.2761,4.4,3.9,ml,,,,0.63,ak,ak11285277,2014-06-07T15:10:19.655Z,"32km ENE of Noatak, Alaska",earthquake
2014-06-07T06:41:00.000Z,67.7321,-162.3956,5,2.6,ml,,,,0.63,ak,ak11285228,2014-06-07T14:45:19.160Z,"30km NE of Noatak, Alaska",earthquake
2014-06-07T06:12:20.000Z,67.8005,-162.4004,14.5,3.7,ml,,,,0.76,ak,ak11285182,2014-06-07T14:15:41.280Z,"35km NE of Noatak, Alaska",earthquake
2014-06-07T06:05:27.490Z,40.3307,51.5838,12.16,5.5,mb,,43,5.616,0.78,us,usc000rcf1,2014-06-08T17:56:33.000Z,"107km E of Artyom, Azerbaijan",earthquake
2014-06-07T06:04:08.300Z,18.7619,-64.3858,33,2.8,Md,6,320.4,0.40603851,0.18,pr,pr14158001,2014-06-07T14:06:39.286Z,"45km NNE of Road Town, British Virgin Islands",earthquake
2014-06-07T05:15:24.000Z,67.7562,-163.1102,27.8,2.5,ml,,,,0.46,ak,ak11285134,2014-06-07T18:07:14.315Z,"21km NNW of Noatak, Alaska",earthquake
2014-06-07T05:10:03.000Z,67.7258,-162.9594,40.8,2.9,ml,,,,1.25,ak,ak11285131,2014-06-07T17:54:12.236Z,"17km N of Noatak, Alaska",earthquake
2014-06-07T05:09:40.000Z,67.7306,-163.4192,23.8,2.8,ml,,,,1.69,ak,ak11285982,2014-06-07T17:55:13.492Z,"26km NW of Noatak, Alaska",earthquake
2014-06-07T05:06:13.000Z,67.6985,-162.3836,0,2.7,ml,,,,0.79,ak,ak11285127,2014-06-07T13:08:43.828Z,"28km ENE of Noatak, Alaska",earthquake
2014-06-07T04:57:19.000Z,50.8018,-169.5824,33.5,3,ml,,,,0.51,ak,ak11285117,2014-06-07T17:37:28.930Z,"217km SSE of Yunaska Island, Alaska",earthquake
2014-06-07T04:43:33.000Z,67.7185,-162.3853,16.4,5.5,ml,,,,0.87,ak,ak11285090,2014-06-07T22:30:42.000Z,"35km NE of Noatak, Alaska",earthquake
2014-06-07T04:19:35.620Z,14.561,54.9013,10,4.9,mb,,61,2.215,0.81,us,usc000rce2,2014-06-07T12:22:03.174Z,"231km NNE of Tamrida, Yemen",earthquake
2014-06-07T04:15:29.420Z,14.3365,54.7661,10,4.4,mb,,140,1.958,0.92,us,usc000rce0,2014-06-07T12:18:37.756Z,"202km NNE of Tamrida, Yemen",earthquake
2014-06-07T03:35:23.000Z,67.7094,-162.5531,21.8,3,ml,,,,1.09,ak,ak11285050,2014-06-07T17:35:29.589Z,"23km NE of Noatak, Alaska",earthquake
2014-06-07T03:30:27.800Z,19.2775,-67.2023,33,2.6,Md,3,356.4,0.80938207,0.07,pr,pr14158002,2014-06-07T11:33:00.550Z,"87km NNW of Isabela, Puerto Rico",earthquake
2014-06-07T03:21:43.870Z,-15.2964,-72.2238,105.78,4.5,mb,,126,3.548,1.08,us,usc000rcdm,2014-06-07T11:24:16.685Z,"13km ESE of Orcopampa, Peru",earthquake
2014-06-07T03:13:59.000Z,67.7376,-162.3236,20.2,4.4,ml,,,,1.25,ak,ak11285020,2014-06-07T11:16:38.432Z,"32km NE of Noatak, Alaska",earthquake
2014-06-07T02:43:31.030Z,28.793,51.3714,10,4.2,mb,,76,5.771,0.88,us,usc000rcdi,2014-06-07T10:46:07.126Z,"54km SSE of Borazjan, Iran",earthquake
2014-06-07T02:42:23.000Z,21.1252,-157.1682,0,4.1,Ml,,140.4,0.07186522,0.13,hv,hv60708856,2014-06-09T21:01:13.304Z,"13km WSW of Kualapu'u, Hawaii",earthquake
2014-06-07T01:19:00.830Z,33.3533333,-116.3883333,14.6,2.69,ml,85,27,0.03192,0.19,ci,ci15509577,2014-06-09T16:08:52.187Z,"10km N of Borrego Springs, California",earthquake
2014-06-07T00:30:33.000Z,58.665,-154.1383,100,2.8,ml,,,,0.73,ak,ak11284998,2014-06-07T08:33:06.001Z,"125km N of Larsen Bay, Alaska",earthquake
2014-06-06T23:49:27.140Z,-7.2753,-75.731,16.42,4.8,mb,,72,4.808,0.71,us,usc000rcd3,2014-06-07T07:04:15.705Z,"northern Peru",earthquake
2014-06-06T23:06:51.770Z,-14.9678,-174.9442,10.47,4.9,mb,,60,3.243,0.84,us,usc000rccx,2014-06-07T14:56:34.000Z,"168km NW of Hihifo, Tonga",earthquake
2014-06-06T22:18:39.580Z,-9.4914,112.9375,56.99,4.3,mb,,116,1.571,0.9,us,usc000rccq,2014-06-07T06:21:08.243Z,"south of Java, Indonesia",earthquake
2014-06-06T22:15:40.800Z,38.6438,-81.5855,29.6,2.6,md,13,75.5999939520005,0.2155957,0.2,se,se060714a,2014-06-07T13:15:15.135Z,"13km NNE of Sissonville, West Virginia",earthquake
2014-06-06T21:42:32.410Z,1.9612,128.4941,69.91,5.3,mb,,34,1.632,0.65,us,usc000rccc,2014-06-07T05:45:08.959Z,"Halmahera, Indonesia",earthquake
2014-06-06T21:37:23.200Z,18.6802,-67.5556,4,2.6,Md,9,201.6,0.30273225,0.27,pr,pr14157002,2014-06-07T05:40:09.573Z,"49km NW of Rincon, Puerto Rico",earthquake
2014-06-06T17:54:01.820Z,10.4139,125.6096,55.04,4.5,mb,,57,9.736,0.88,us,usc000rc8l,2014-06-07T14:10:36.788Z,"6km NE of Loreto, Philippines",earthquake
2014-06-06T17:51:26.800Z,36.1095,-97.4417,3.364,2.7,ml,,57,,0.53,us,usc000rc8j,2014-06-07T13:53:27.391Z,"22km NE of Crescent, Oklahoma",earthquake
2014-06-06T17:48:42.800Z,36.1089,-97.4407,2.323,2.6,ml,,57,,0.45,us,usc000rc88,2014-06-07T13:38:08.091Z,"22km NE of Crescent, Oklahoma",earthquake
2014-06-06T17:10:23.920Z,39.7756,24.0685,15.68,4.2,mwr,,35,1.257,1.02,us,usc000rc72,2014-06-07T13:31:49.058Z,"30km SSE of Sikia, Greece",earthquake
2014-06-06T16:44:09.000Z,52.6871,-168.8079,41.2,2.6,ml,,,,0.78,ak,ak11284700,2014-06-07T00:46:44.566Z,"28km S of Nikolski, Alaska",earthquake
2014-06-06T15:31:10.850Z,14.6076,54.6917,10,4.5,mb,,119,2.185,0.69,us,usc000rc5t,2014-06-06T23:33:47.306Z,"227km NNE of Tamrida, Yemen",earthquake
2014-06-06T15:19:22.000Z,51.5817,-175.2401,26.4,2.7,ml,,,,0.68,ak,ak11284655,2014-06-06T23:22:00.123Z,"98km SW of Atka, Alaska",earthquake
2014-06-06T14:13:56.260Z,-5.9732,129.0089,273.31,4.2,mb,,84,3.025,0.69,us,usc000rc34,2014-06-06T22:16:35.293Z,"266km SSE of Amahusu, Indonesia",earthquake
2014-06-06T13:41:40.320Z,39.8742,16.1169,10,4.4,mb,,42,0.853,1.35,us,usc000rc2y,2014-06-06T21:44:09.808Z,"4km NNW of Morano Calabro, Italy",earthquake
2014-06-06T12:48:40.840Z,-11.4684,161.6436,25.2,4.8,mb,,106,2.617,0.55,us,usc000rc1j,2014-06-06T20:51:09.267Z,"116km SSW of Kirakira, Solomon Islands",earthquake
2014-06-06T12:37:58.850Z,-28.9244,-71.504,35.21,4.8,mb,,137,0.82,0.63,us,usc000rc1f,2014-06-06T20:40:37.161Z,"82km WSW of Vallenar, Chile",earthquake
2014-06-06T12:21:05.230Z,39.1713,23.7035,11.42,4.3,mb,,50,1.074,0.66,us,usc000rc1e,2014-06-09T22:24:06.170Z,"5km NNW of Skopelos, Greece",earthquake
2014-06-06T10:37:10.300Z,34.4073333,-119.9141667,8.84,2.69,ml,40,75,0.05936,0.27,ci,ci15509409,2014-06-08T10:33:18.470Z,"4km W of Isla Vista, California",earthquake
2014-06-06T09:28:41.170Z,6.8597,-73.1522,147.23,4.3,mb,,124,0.929,0.78,us,usc000rc0c,2014-06-06T17:31:15.495Z,"13km ENE of Zapatoca, Colombia",earthquake
2014-06-06T09:00:44.300Z,23.9425,122.3496,22.07,4.2,mb,,115,0.727,0.47,us,usc000rc07,2014-06-06T17:03:13.789Z,"75km E of Hualian, Taiwan",earthquake
2014-06-06T07:39:01.000Z,52.3943,-174.4843,188.9,2.9,ml,,,,0.32,ak,ak11284450,2014-06-06T18:16:42.570Z,"29km NW of Atka, Alaska",earthquake
2014-06-06T07:12:58.600Z,40.26,-123.2405,27.7,2.8,Md,51,39.6,0.12576414,0.12,nc,nc72233276,2014-06-06T20:32:09.829Z,"33km S of Hayfork, California",earthquake
2014-06-06T06:56:50.810Z,9.6767,126.5645,51.1,4.7,mb,,60,10.869,1.1,us,usc000rbyx,2014-06-06T14:59:33.125Z,"46km ESE of General Luna, Philippines",earthquake
2014-06-06T06:20:02.330Z,36.6091,70.926,221.51,4.3,mb,,72,0.586,0.95,us,usc000rbyq,2014-06-06T14:25:21.790Z,"29km SSE of Jarm, Afghanistan",earthquake
2014-06-06T05:20:24.020Z,9.665,-83.8416,23.84,3.5,mwr,,203,1.258,1.05,us,usc000rbyj,2014-06-06T22:04:22.624Z,"14km S of Orosi, Costa Rica",earthquake
2014-06-06T04:38:56.960Z,-61.0515,-51.7313,10,5,mb,,67,6.747,0.85,us,usc000rby5,2014-06-06T12:41:49.633Z,"Scotia Sea",earthquake
2014-06-06T04:38:23.183Z,38.5293,-118.3818,10.7373,2.54,ml,12,95.48,0.1,0.1297,nn,nn00448389,2014-06-09T15:04:49.088Z,"21km E of Hawthorne, Nevada",earthquake
2014-06-06T04:35:51.000Z,61.3863,-152.1773,13.6,3,ml,,,,0.93,ak,ak11284397,2014-06-06T12:38:27.822Z,"91km NNW of Nikiski, Alaska",earthquake
2014-06-06T03:46:54.230Z,-39.4917,175.1077,95.81,4.9,mb,,57,0.997,0.77,us,usc000rbxj,2014-06-06T04:46:30.834Z,"48km W of Waiouru, New Zealand",earthquake
2014-06-06T03:38:28.800Z,14.5978,54.652,10,4.6,mb,,82,2.164,0.71,us,usc000rbxh,2014-06-06T23:08:00.500Z,"225km NNE of Tamrida, Yemen",earthquake
2014-06-06T03:35:26.870Z,14.6083,54.5951,10,4.4,mb,,138,2.158,0.82,us,usc000rbxi,2014-06-06T22:08:30.388Z,"Owen Fracture Zone region",earthquake
2014-06-06T02:58:36.950Z,14.7232,54.711,10,4.6,mb,,131,2.3,0.82,us,usc000rbxa,2014-06-06T21:33:29.688Z,"240km NNE of Tamrida, Yemen",earthquake
2014-06-06T02:41:34.000Z,19.5629,-63.7709,96,3.1,Md,4,345.6,1.39238869,0.18,pr,pr14157001,2014-06-06T19:42:29.572Z,"155km NE of Road Town, British Virgin Islands",earthquake
2014-06-06T01:55:34.300Z,19.1355,-67.1597,24,2.7,Md,4,334.8,0.66475331,0.07,pr,pr14157000,2014-06-06T09:58:15.237Z,"71km NNW of Isabela, Puerto Rico",earthquake
2014-06-06T00:48:42.650Z,-20.3794,-69.0302,119.27,4.1,ml,,94,0.263,0.89,us,usc000rbw9,2014-06-07T00:48:32.445Z,"117km E of Iquique, Chile",earthquake
2014-06-06T00:16:33.040Z,34.2229,89.115,9.68,4.5,mb,,40,4.819,1.25,us,usc000rbw7,2014-06-06T08:19:11.265Z,"282km NNW of Pubu, China",earthquake
2014-06-05T22:56:39.800Z,35.7294,-97.4098,4.107,2.6,ml,,51,,0.64,us,usc000rbw1,2014-06-06T06:59:18.372Z,"10km NE of Edmond, Oklahoma",earthquake
2014-06-05T22:52:39.000Z,61.5079,-140.6657,14.9,3.6,ml,,,,0.64,ak,ak11284149,2014-06-06T06:55:17.112Z,"187km NNE of Cape Yakataga, Alaska",earthquake
2014-06-05T20:19:29.570Z,-20.3589,-70.2657,35.15,5,mb,,119,0.22,0.92,us,usc000rbsp,2014-06-06T04:26:04.364Z,"near the coast of Tarapaca, Chile",earthquake
2014-06-05T18:22:33.000Z,36.3121,-96.7926,5.377,2.5,ml,,96,,0.5,us,usc000rbgm,2014-06-06T03:12:50.250Z,"3km SSE of Pawnee, Oklahoma",earthquake
2014-06-05T17:51:11.270Z,34.9848333,-119.2751667,0.25,2.89,ml,43,55,0.1218,0.26,ci,ci15509129,2014-06-05T20:13:59.794Z,"14km SE of Maricopa, California",earthquake
2014-06-05T17:22:07.860Z,-28.8961,-112.3029,7.65,5.7,mwb,,75,3.161,1.05,us,usc000rbe3,2014-06-06T01:24:49.386Z,"Easter Island region",earthquake
2014-06-05T15:31:57.800Z,18.7127,-67.6392,8,3,Md,17,302.4,0.35932611,0.38,pr,pr14156008,2014-06-06T19:37:53.000Z,"58km NW of Rincon, Puerto Rico",earthquake
2014-06-05T15:24:16.000Z,61.1569,-140.1979,0.1,2.6,ml,,,,0.74,ak,ak11283762,2014-06-06T19:28:07.000Z,"154km WNW of Haines Junction, Canada",earthquake
2014-06-05T14:41:15.000Z,62.8523,-149.401,76,3.8,ml,,,,0.59,ak,ak11283688,2014-06-05T22:45:03.862Z,"64km SSW of Cantwell, Alaska",earthquake
2014-06-05T14:30:17.000Z,61.4292,-152.0738,0.4,3.2,ml,,,,0.73,ak,ak11283672,2014-06-05T22:33:42.599Z,"92km NNW of Nikiski, Alaska",earthquake
2014-06-05T13:19:40.460Z,35.3363333,-118.5603333,9.38,3.12,ml,56,53,0.1226,0.15,ci,ci15509041,2014-06-05T17:25:52.320Z,"20km NNE of Bear Valley Springs, California",earthquake
2014-06-05T11:04:47.700Z,-55.4934,-28.3224,10,4.9,mb,,98,4.867,0.97,us,usc000rbal,2014-06-05T19:08:16.144Z,"151km NNW of Visokoi Island, ",earthquake
2014-06-05T10:52:47.530Z,-24.2057,-66.8997,172.36,4.9,mb,,25,2.434,1.16,us,usc000rbah,2014-06-05T23:14:30.000Z,"59km W of San Antonio de los Cobres, Argentina",earthquake
2014-06-05T10:29:18.000Z,62.5764,-151.4431,100,2.8,ml,,,,0.8,ak,ak11283433,2014-06-05T18:31:48.038Z,"74km WNW of Talkeetna, Alaska",earthquake
2014-06-05T09:49:13.000Z,63.5259,-146.7016,0.2,2.5,ml,,,,0.64,ak,ak11283406,2014-06-05T17:51:52.995Z,"74km SW of Delta Junction, Alaska",earthquake
2014-06-05T08:21:25.100Z,19.5804,-65.8772,33,3,Md,14,280.8,1.25853971,0.25,pr,pr14156005,2014-06-05T16:24:01.445Z,"125km N of San Juan, Puerto Rico",earthquake
2014-06-05T08:11:57.980Z,4.5309,96.547,44.87,4.6,mb,,134,0.799,0.79,us,usc000rb8l,2014-06-05T16:14:29.009Z,"63km NE of Meulaboh, Indonesia",earthquake
2014-06-05T06:55:49.000Z,61.1683,-140.3228,0,2.8,ml,27,64.7999948160004,,0.58,ak,ak11283215,2014-06-05T14:59:30.100Z,"159km WNW of Haines Junction, Canada",earthquake
2014-06-05T06:28:17.000Z,61.1926,-140.3257,0,2.8,ml,,,,0.6,ak,ak11283188,2014-06-05T14:30:59.425Z,"160km WNW of Haines Junction, Canada",earthquake
2014-06-05T05:51:27.000Z,61.1664,-140.2552,0.7,2.8,ml,,,,0.73,ak,ak11283126,2014-06-05T13:53:54.040Z,"155km WNW of Haines Junction, Canada",earthquake
2014-06-05T05:44:27.000Z,61.1531,-140.2478,9.5,5.2,ml,,,,0.69,ak,ak11283102,2014-06-07T23:18:59.000Z,"162km WNW of Haines Junction, Canada",earthquake
2014-06-05T05:41:03.760Z,-19.9874,-71.0298,9.16,4.6,mwr,,149,0.937,0.72,us,usc000rb7r,2014-06-05T13:43:32.095Z,"96km WNW of Iquique, Chile",earthquake
2014-06-05T05:37:59.000Z,61.1634,-140.2446,11.8,4.9,ml,40,75.5999939520005,,0.77,ak,ak11283063,2014-06-05T13:42:03.480Z,"142km WNW of Haines Junction, Canada",earthquake
2014-06-05T04:17:31.490Z,-15.9346,-176.8344,338.83,4.5,mb,,112,5.286,0.38,us,usc000rb6c,2014-06-05T12:20:04.573Z,"230km SE of Sigave, Wallis and Futuna",earthquake
2014-06-05T03:08:20.200Z,18.1175,-64.4576,16,2.6,Md,4,244.8,0.33237666,0.28,pr,pr14156002,2014-06-05T11:10:46.251Z,"37km SSE of Road Town, British Virgin Islands",earthquake
2014-06-05T02:48:02.400Z,17.9871,-68.4278,70,3.1,Md,6,334.8,1.28998075,0.23,pr,pr14156001,2014-06-05T10:50:40.364Z,"47km SSE of Boca de Yuma, Dominican Republic",earthquake
2014-06-05T01:21:46.470Z,14.6338,145.6355,19.5,4.9,mb,,167,1.277,0.38,us,usc000rb5h,2014-06-05T03:29:16.650Z,"37km S of JP Tinian Town pre-WW2, Northern Mariana Islands",earthquake
2014-06-05T01:16:09.260Z,-3.4315,153.5276,341.37,5.1,mb,,108,1.556,1.2,us,usc000rb5g,2014-06-05T09:18:40.080Z,"New Ireland region, Papua New Guinea",earthquake
2014-06-04T23:37:33.840Z,-17.9505,-177.9966,604.83,4.3,mb,,123,7.206,0.32,us,usc000rb51,2014-06-05T07:40:08.707Z,"Fiji region",earthquake
2014-06-04T23:03:03.360Z,12.3639,-87.5919,36.94,4.4,mb,,141,0.639,1.47,us,usc000rb4l,2014-06-05T07:06:56.128Z,"44km SSW of Jiquilillo, Nicaragua",earthquake
2014-06-04T21:22:31.600Z,44.787,-110.7647,9.2,3.4,Ml,,104.4,0.06288207,0.23,uu,uu60072087,2014-06-05T05:25:52.079Z,"30km ENE of West Yellowstone, Montana",earthquake
2014-06-04T21:20:42.920Z,39.8116,16.0028,12.38,4.1,mb,,46,0.86,1.45,us,usc000rb2w,2014-06-05T05:23:25.278Z,"8km S of Mormanno, Italy",earthquake
2014-06-04T21:19:24.300Z,35.5753,-92.2463,0.1,3.8,mwr,16,50.3999959680003,0.1437304,0.17,nm,nm060614a,2014-06-07T13:37:03.578Z,"2km SSE of Fairfield Bay, Arkansas",earthquake
2014-06-04T20:44:38.000Z,18.8134,-64.6932,65,2.6,Md,3,338.4,0.52102286,0.03,pr,pr14155008,2014-06-05T04:47:04.563Z,"44km N of Road Town, British Virgin Islands",earthquake
2014-06-04T20:29:33.690Z,20.0799,121.4929,38.9,4.5,mb,,118,2.699,0.6,us,usc000rb24,2014-06-05T04:32:01.687Z,"48km SW of Sabtang, Philippines",earthquake
2014-06-04T19:35:35.180Z,-20.7017,-70.773,17.74,4.1,mwr,,177,0.571,0.43,us,usc000rb0g,2014-06-05T12:46:58.000Z,"84km SW of Iquique, Chile",earthquake
2014-06-04T19:14:55.000Z,58.9301,-154.3699,100,2.6,ml,45,147.599988192001,0.432988,0.95,ak,ak11282349,2014-06-05T03:20:28.867Z,"96km SSE of Old Iliamna, Alaska",earthquake
2014-06-04T19:14:13.430Z,34.4088333,-119.914,9.15,2.65,ml,29,75,0.0591,0.25,ci,ci15508833,2014-06-04T22:14:49.561Z,"4km W of Isla Vista, California",earthquake
2014-06-04T19:11:51.100Z,32.1625,-115.1875,22.46,2.92,ml,8,239,0.2749,0.16,ci,ci15508841,2014-06-04T22:05:08.374Z,"7km SSW of Alberto Oviedo Mota, Mexico",earthquake
2014-06-04T18:53:49.200Z,3.2111,-76.2763,163.69,4.5,mb,,137,1.454,0.75,us,usc000razu,2014-06-05T02:56:33.250Z,"4km NNW of Corinto, Colombia",earthquake
2014-06-04T18:29:56.100Z,19.5193,-65.9337,10,2.7,Md,3,334.8,1.35286282,0.1,pr,pr14155007,2014-06-05T02:34:14.649Z,"117km N of San Juan, Puerto Rico",earthquake
2014-06-04T17:04:27.290Z,-20.6533,-70.8142,13.7,5,mwr,,125,0.599,0.97,us,usc000rayg,2014-06-05T01:07:25.365Z,"84km SW of Iquique, Chile",earthquake
2014-06-04T15:20:57.000Z,44.7998,-110.772,6.2,2.5,Ml,,212.4,0.05389892,0.13,uu,uu60071907,2014-06-04T23:23:37.229Z,"30km ENE of West Yellowstone, Montana",earthquake
2014-06-04T14:45:46.440Z,33.7365,-116.7453333,16.1,2.53,ml,98,18,0.03572,0.17,ci,ci15508753,2014-06-05T06:08:52.162Z,"1km WSW of Idyllwild-Pine Cove, California",earthquake
2014-06-04T13:53:35.650Z,9.1824,126.4258,55.6,4.7,mb,,103,8.407,0.66,us,usc000ravp,2014-06-04T21:56:06.361Z,"27km ENE of Tandag, Philippines",earthquake
2014-06-04T13:37:39.230Z,50.5469,159.3716,33.98,4.6,mb,,133,2.52,0.87,us,usc000ravh,2014-06-04T21:40:16.305Z,"226km ESE of Ozernovskiy, Russia",earthquake
2014-06-04T13:15:53.830Z,32.4637,141.5668,51.53,4.9,mb,,62,1.613,0.66,us,usc000rav3,2014-06-04T21:19:18.652Z,"179km ESE of Hachijo-jima, Japan",earthquake
2014-06-04T13:06:52.910Z,10.9992,-86.9662,38.76,4.5,mb,,146,1.248,0.74,us,usc000rav1,2014-06-04T21:09:20.706Z,"100km SSW of Masachapa, Nicaragua",earthquake
2014-06-04T13:02:35.200Z,18.6217,-64.49,2,2.6,Md,9,306,0.2353586,0.17,pr,pr14155009,2014-06-05T15:45:45.979Z,"26km NNE of Road Town, British Virgin Islands",earthquake
2014-06-04T12:16:03.000Z,44.7875,-110.7657,7.7,3.5,Ml,,104.4,0.06288207,0.18,uu,uu60071847,2014-06-04T21:35:53.918Z,"30km ENE of West Yellowstone, Montana",earthquake
2014-06-04T11:58:58.200Z,59.0001,-136.6561,10,5.7,mwp,,48,0.811,1.85,us,usc000rauc,2014-06-11T05:22:21.596Z,"73km WSW of Haines, Alaska",earthquake
2014-06-04T11:07:30.000Z,67.6371,-162.4233,10.5,3.5,ml,21,97.1999922240006,0.216494,1.1,ak,ak11281627,2014-06-04T19:10:04.904Z,"24km ENE of Noatak, Alaska",earthquake
